stuff,prefix,keywords,is_done,suffix
The Forgotten Battle,Learn more about war movies :,,no_failed,film
1917,Learn more about war movies :,,yes,film
Apocalypse Now,Learn more about war movies :,,yes,film
The Expendables 4,Learn more about war movies :,,yes,film
Saving Private Ryan,Learn more about war movies :,,yes,film
Dunkirk,Learn more about war movies :,,yes,film
Jojo Rabbit,Learn more about war movies :,,no_failed,film
Inglourious Basterds,Learn more about war movies :,,no_failed,film
The Courier,Learn more about war movies :,,no_failed,film
Stripes,Learn more about war movies :,,no_failed,film
Midway,Learn more about war movies :,,no_failed,film
Hacksaw Ridge,Learn more about war movies :,,no_failed,film
Wonder Woman,Learn more about war movies :,,no_failed,film
Hell Hath No Fury,Learn more about war movies :,,no_failed,film
Atonement,Learn more about war movies :,,no_failed,film
Full Metal Jacket,Learn more about war movies :,,no_failed,film
The Tragedy of Macbeth,Learn more about war movies :,,no_failed,film
Incendies,Learn more about war movies :,,no_failed,film
The Pianist,Learn more about war movies :,,no_failed,film
Braveheart,Learn more about war movies :,,no_failed,film
Greyhound,Learn more about war movies :,,no_failed,film
Fury,Learn more about war movies :,,no_failed,film
Malena,Learn more about war movies :,,no_failed,film
Black Hawk Down,Learn more about war movies :,,no_failed,film
The Imitation Game,Learn more about war movies :,,no_failed,film
Life Is Beautiful,Learn more about war movies :,,no_failed,film
Kingdom of Heaven,Learn more about war movies :,,no_failed,film
Pan's Labyrinth,Learn more about war movies :,,no_failed,film
The Last of the Mohicans,Learn more about war movies :,,no_failed,film
American Sniper,Learn more about war movies :,,no_failed,film
Come and See,Learn more about war movies :,,no_failed,film
Shershaah,Learn more about war movies :,,no_failed,film
King Arthur,Learn more about war movies :,,no_failed,film
Official Secrets,Learn more about war movies :,,no_failed,film
The Best Years of Our Lives,Learn more about war movies :,,no_failed,film
Legends of the Fall,Learn more about war movies :,,no_failed,film
The Dirty Dozen,Learn more about war movies :,,no_failed,film
Casablanca,Learn more about war movies :,,no_failed,film
The Deer Hunter,Learn more about war movies :,,no_failed,film
The Patriot,Learn more about war movies :,,no_failed,film
Empire of the Sun,Learn more about war movies :,,no_failed,film
Platoon,Learn more about war movies :,,no_failed,film
Paths of Glory,Learn more about war movies :,,no_failed,film
Tropic Thunder,Learn more about war movies :,,no_failed,film
Zero Dark Thirty,Learn more about war movies :,,no_failed,film
The Thin Red Line,Learn more about war movies :,,no_failed,film
The Great Escape,Learn more about war movies :,,no_failed,film
Lone Survivor,Learn more about war movies :,,no_failed,film
Outlaw King,Learn more about war movies :,,no_failed,film
